humidity,light,temperature,has_human
61,79.17,30,1
61,79.17,30,1
61,79.17,30,1
61,80,30,1
61,79.17,30,1
61,79.17,30,1
62,80,30,1
60,79.17,30,1
61,79.17,30,1
61,79.17,30,1
61,79.17,30,1
61,79.17,30,1
61,79.17,30,1
61,79.17,30,1
61,80,30,1
61,80,30,1
61,79.17,30,1
61,79.17,30,1
61,80,30,1
61,80,30,1
61,79.17,30,1
61,80,30,1
61,80,30,1
61,80,30,1
61,80,30,1
61,80,30,1
61,80,30,1
61,80,30,1
61,80,30,1
60,80,30,1
60,80,30,1
60,80,30,1
60,80,30,1
60,80,30,1
60,79.17,30,1
61,80,31,1
61,80,31,1
61,80,31,1
60,80,30,1
60,80,30,1
60,80,30,1
60,79.17,30,1
60,79.17,30,1
60,79.17,30,1
60,80,30,1
60,80,30,1
60,80,30,1
60,80,30,1
60,79.17,30,1
60,80,30,1
60,80,30,1
60,80,30,1
60,79.17,30,1
60,79.17,30,1
59,79.17,30,1
59,79.17,30,1
58,78.33,30,1
58,78.33,30,1
57,79.17,30,1
57,78.33,30,1
56,78.33,30,1
56,78.33,30,1
55,60,30,1
0,0,0,1
54,47.5,29,1
54,31.67,29,1
54,45.83,29,1
54,45.83,29,1
54,45.83,29,1
54,46.67,29,1
54,46.67,29,1
54,45.83,29,1
54,45.83,29,1
54,46.67,29,1
54,45.83,29,1
54,46.67,29,1
54,45.83,29,1
54,45,29,1
54,45,29,1
54,45,29,1
54,45,29,0
54,45,29,0
54,45,29,0
54,45,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,1.67,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0.83,29,0
54,0.83,29,0
54,0.83,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
54,0,29,0
